K,candidate_id,case_id,dbdt_p95,h_p95,ip_increment_nrmse,passed,peak_time_error_steps_max,receiver_id,receiver_index,total_p95,unexplained_sign_flips,waveform_id
4,K04_cc_span8.0_shift+0.5_dens1.25,PG01,0.04912428811014152,0.09437482906530467,0.18600019950697189,False,0.0,point,0,0.04107702814234633,0,W1
4,K04_cc_span8.0_shift+0.5_dens1.25,PG01,0.05087017375068955,0.01814817089657775,0.1805306365830622,False,0.0,point,1,0.02203155642359526,0,W1
4,K04_cc_span8.0_shift+0.5_dens1.25,PG01,0.05731918744205726,0.09860580254127353,0.32325049216967827,False,0.0,point,0,0.0430925408826849,0,W2
4,K04_cc_span8.0_shift+0.5_dens1.25,PG01,0.07562900202743308,0.01814910616242294,0.34868946879326185,False,0.0,point,1,0.022161353724235187,0,W2
4,K04_tw_span4.0_shift-0.5_dens1.00,PG01,0.013745807203497374,0.07124401779522668,0.056907104477747036,False,0.0,point,0,0.06006700061331541,0,W0
4,K04_tw_span4.0_shift-0.5_dens1.00,PG01,0.007686694097452483,0.06788544826879137,0.037189707146878304,False,0.0,point,1,0.028696749826762902,0,W0
4,K04_tw_span4.0_shift-0.5_dens1.00,PG01,0.01424303879949947,0.0712704421954421,0.0566200307053831,False,0.0,point,0,0.059971219737626896,0,W1
4,K04_tw_span4.0_shift-0.5_dens1.00,PG01,0.007721514698449539,0.0683207510947784,0.05002581793986105,False,0.0,point,1,0.028728712524462977,0,W1
4,K04_tw_span4.0_shift-0.5_dens1.00,PG01,0.014171764674437195,0.07134959069631558,0.08224816533402886,False,0.0,point,0,0.061139229679729935,0,W2
4,K04_tw_span4.0_shift-0.5_dens1.00,PG01,0.008163609997969955,0.06837053308906046,0.08854409199058477,False,0.0,point,1,0.027826266018006248,0,W2
4,K04_tw_span4.0_shift-0.5_dens1.25,PG01,0.011826323856756239,0.0715315276824533,0.05702632861522805,False,0.0,point,0,0.05369852765739123,0,W0
4,K04_tw_span4.0_shift-0.5_dens1.25,PG01,0.0064243485263505255,0.06823572034446862,0.03241868886756921,False,0.0,point,1,0.027997996838971154,0,W0
4,K04_tw_span4.0_shift-0.5_dens1.25,PG01,0.012597490137570319,0.07155826292185626,0.05674145860603836,False,0.0,point,0,0.0537404163401724,0,W1
4,K04_tw_span4.0_shift-0.5_dens1.25,PG01,0.006447522594555668,0.06865181534812573,0.03203587969374529,False,0.0,point,1,0.028031900118917423,0,W1
4,K04_tw_span4.0_shift-0.5_dens1.25,PG01,0.014292344445312802,0.07163834159704573,0.055824904105119776,False,0.0,point,0,0.05612227220437378,0,W2
4,K04_tw_span4.0_shift-0.5_dens1.25,PG01,0.006500275536547803,0.06870223047425761,0.0317314188332017,False,0.0,point,1,0.027089055497912625,0,W2
4,K04_tw_span4.0_shift+0.0_dens1.00,PG01,0.006536404876365717,0.021859283310648757,0.017095530486610874,False,0.0,point,0,0.011656354054860929,0,W0
4,K04_tw_span4.0_shift+0.0_dens1.00,PG01,0.00940348999391775,0.012972495797935028,0.015709484787520708,True,0.0,point,1,0.007625422695187531,0,W0
4,K04_tw_span4.0_shift+0.0_dens1.00,PG01,0.006562265595496009,0.02255521984519154,0.019143019275058997,False,0.0,point,0,0.011203860014958546,0,W1
4,K04_tw_span4.0_shift+0.0_dens1.00,PG01,0.00978448226446037,0.012979636837673204,0.018916999577112594,True,0.0,point,1,0.007626631088124756,0,W1
